,lon,lat,z,heading,score
0,12.5258989,41.9458655,50.0,222.54918802950738,0.0
1,12.5258989,41.9458655,50.0,42.54918802950738,0.0
2,12.5259057,41.9459641,50.0,0.8802512817129013,0.0
3,12.5259057,41.9459641,50.0,180.8802512817129,0.0
4,12.5273639,41.9387581,50.0,219.97937120470556,0.0
5,12.5273639,41.9387581,50.0,39.97937120470556,0.0
6,12.529453,41.9392801,50.0,55.754310362821,0.0
7,12.529453,41.9392801,50.0,235.754310362821,0.0
8,12.5181892,41.9428516,50.0,39.898486590329014,0.0
9,12.5181892,41.9428516,50.0,219.89848659032901,0.0
10,12.5230386,41.9426866,50.0,40.475440561956134,0.0
11,12.5230386,41.9426866,50.0,220.47544056195613,0.0
12,12.5229445,41.942745,50.0,40.46900372689083,0.0
13,12.5229445,41.942745,50.0,220.46900372689083,0.0
14,12.5231891,41.9429418,50.0,220.5786731549042,0.0
15,12.5231891,41.9429418,50.0,40.57867315490421,0.0
16,12.5167497,41.9423662,50.0,308.68755993948287,0.0
17,12.5167497,41.9423662,50.0,128.68755993948287,0.0
18,12.5166637,41.9425115,50.0,127.56637214533987,0.0
19,12.5166637,41.9425115,50.0,307.56637214533987,0.0
20,12.517569,41.9431581,50.0,308.73387372807656,0.0
21,12.517569,41.9431581,50.0,128.73387372807656,0.0
22,12.5234748,41.9433489,50.0,130.26945218111342,0.0
23,12.5234748,41.9433489,50.0,310.2694521811134,0.0
24,12.5248053,41.9432884,50.0,219.72190734999282,0.0
25,12.5248053,41.9432884,50.0,39.72190734999282,0.0
26,12.5253233,41.9429665,50.0,220.5350012847693,0.0
27,12.5253233,41.9429665,50.0,40.535001284769294,0.0
28,12.5254949,41.9423282,50.0,130.35402701036583,0.0
29,12.5254949,41.9423282,50.0,310.3540270103658,0.0
30,12.5254117,41.9429117,50.0,220.5350012847693,0.0
31,12.5254117,41.9429117,50.0,40.535001284769294,0.0
32,12.5250723,41.9431224,50.0,220.5350012847693,0.0
33,12.5250723,41.9431224,50.0,40.535001284769294,0.0
34,12.5246248,41.943401,50.0,219.72190734999282,0.0
35,12.5246248,41.943401,50.0,39.72190734999282,0.0
36,12.5236331,41.9434868,50.0,130.26945218111342,0.0
37,12.5236331,41.9434868,50.0,310.2694521811134,0.0
38,12.5239303,41.9437655,50.0,130.25941131952152,0.0
39,12.5239303,41.9437655,50.0,310.2594113195215,0.0
40,12.5193429,41.9436302,50.0,39.35885339514704,0.0
41,12.5193429,41.9436302,50.0,219.35885339514704,0.0
42,12.5191981,41.9437198,50.0,159.56410718442226,0.0
43,12.5191981,41.9437198,50.0,339.56410718442226,0.0
44,12.5278252,41.9442913,50.0,45.83966614653366,0.0
45,12.5278252,41.9442913,50.0,225.83966614653366,0.0
46,12.5286414,41.9436647,50.0,125.09928185514715,0.0
47,12.5286414,41.9436647,50.0,305.0992818551472,0.0
48,12.5285224,41.943684,50.0,107.58727325144196,0.0
